Score,Genres,Name,Description,Image_url
7.27,"['アクション', 'ミステリー', '警察', '超能力', 'ドラマ', '魔法']",Witch Hunter ROBIN (ウイッチハンターロビン),"ches are individuals with special powers like ESP, telekinesis, mind control, etc. Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKvAZowwqgCN5bHDY5kT6-FZPe32PaHjDDXwtXbC0yHjW6mS2vrlg8EQo809IDcpn2YjIx0eyDCRgWSMVhr5sH7s8lBV97Sf9hWzkUrnw0QBahcC1KAZX6XJPpTppXY__GDP0A9T_qO2D4BVI35_LjsUzY-uZ04qpKDoPmIy4TunIxlSj8D86zepcLRSrJG39-cSecBcVjDeN2S3H-PR_HFqnem7zjIAyR3fojfawBdubgcpeSWN6A5MNrZqDFEh4d/20592_1_1.png
6.77,"['ハーレム', 'ドラマ', '魔法', 'ロマンス']",D.C.～ダ・カーポ～,"Every year the flowers bloom. Mysterious Cherry Blossoms blooming all over a crescent shaped island. That island is the island of Hatsune... The main character who goes to Kazami Academy, Asakura Junnichi, has the power to see the dreams of other people in his sleep. He was also taught magic by an old lady that allows him to create sweets. One day, Junnichi seems to have seen someone's dream again while he was sleeping. Inside that dream, a girl who was a childhood friend of his appeared. But, he was woken up by his sister Asakura Nemu, forcing him to come back to his regular life. Nemu doesn't actually have any blood relation to Junnichi but their bond is deeper than other real brothers and sisters. So deep that it gives the illusion that they're lovers. It was another peaceful normal day waking up early in the morning and going to Kazami Academy. Together with childhood friend Amakase Miharu, the academy idol Shirakawa Kotori, the two sisters Mizukoshi Moe and Mako who prefer eating nabe on the school roof for lunch. Going through their day as usual, their childhood friend, Yoshino Sakura, who they thought had moved to America suddenly appears. It was a surprise for Junnichi and Nemu. Sakura tells them, ""I came to finish the promise we made during our childhood""... (Source: AnimeNfo and AniDB)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKdvWrLmRQ1y1wCGmVtIdr7nytIuDYSD2vmvQLSZzFay1IY1t5nrQtfDfYYdHV2tuetfLJ0T21I7VzBGBny__UA88lBV97Sf9hWzkUrnw0QBahcC1KAZX6XJPpTppXY__GDP0A9T_qO2D4BVI35_LjsYZ1pl7m0763vfHhIivlUIL_2Mm3PBJlqnLhXaizDLFt6CFkX746Blq-_vCTeMW96ti4kfpvLnxO3mKYKrYS8jdSe4gshG7Rkd1fxcKUz2eM/10955_1_1.png
6.62,"['SF', 'ハーレム', 'コメディ', 'ロマンス', 'エッチ', '少年']",ディアーズ,"One year ago, a UFO containing 150 aliens crash-landed off the shores of Kasai. Because no one could fix their ship, the Japanese Government decided to bestow upon them the designation ""DearS"" and make them into Japanese citizens, teaching them the language, customs, and culture of Japan. However, in order for them to become more familiar with human society, a home-stay program has been enacted to allow them to mingle with other humans. One misty morning, a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank, releasing her from her confinement. She is eventually found by a high school student named Takeya Ikuhara, who saves her from being hit by a truck and takes pity on her, despite being extremely distrustful of their race and wanting nothing to do with them. Upon being named Ren, she imprints upon him as her ""Master"" and serves as his personal ""Slave,"" leaving him with a ""DearS"" who wants to remain with him no matter what and bringing his ordinary, alien-free days to an end.",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1CROubRnqp0a8lc9vDDS-lAY7AB0-ZjPxi7Xye_xu0wm9U4TgWke3wHS2oRWPNFsjvD2JXl_7C2xRnagW_n5WiaRZ-uNfZY_YGCowVQyfCdzyUFX3tJ_2FbORSufDRAFqFwLUoBlfpck-lOmldj_8YM_QD1P-o7YPgFUjfn8uOxTNj65nTiqkoOg-YjLhO6crWPMN52LnSynlh5eD7BZ1f6aoBGeUDN0SyiO7a5crD36f7BdqzTEOcD-B5nVQk6ihTQQbzQ0p4caWkyaSELo94=/71qN-0yKXdL._RI_.jpg
8.07,"['アクション', 'コメディ', '学園']",フルメタル・パニック? ふもっふ,"It's back-to-school mayhem with Kaname Chidori and her war-freak classmate Sousuke Sagara as they encounter more misadventures in and out of Jindai High School. But when Kaname gets into some serious trouble, Sousuke takes the guise of Bonta-kun—the gun-wielding, butt-kicking mascot. And while he struggles to continue living as a normal teenager, Sousuke also has to deal with protecting his superior officer Teletha Testarossa, who has decided to take a vacation from Mithril and spend a couple of weeks as his and Kaname's classmate. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKdvWrLmRQ1y1wCGmVtIdr7vsaurwGC81SZ5do7KdornqbQ0Jo4eLZ_33rxEy6acFgzxozhD_q_lO3blTzyS5gpIwQUr2uPRjssvIKp0lzNh5caPRnczZZkhb6Ym94bf9_VgYWEfpGpML-rV4VGTkkjS-v_qv4_yJesJY1YGK-6K0yflLeLV9Cfp0dV4Ti6MQHHIANpheAPOnho-D80QQkAHOz-Hxnu5oFTkFWnms7VtI4J45SavOQhxLC3WnpqlPi/10332_1_9_8b.png
7.96,"['アクション', '軍事', 'ロボット']",フルメタル パニック！The Second Raid,"fter overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall). However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake. As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8mSVdw4FE81Uc_ym4frqws9yfekTp_mimpm09ly6ZrKdvWrLmRQ1y1wCGmVtIdr7sg14t7aiCltCtjsGxkrtbB0sIPvsjBUPzTwuYIc-lm79ZqYmlJez75RyXx_htztMc8lBV97Sf9hWzkUrnw0QBahcC1KAZX6XJPpTppXY__GDP0A9T_qO2D4BVI35_LjsUzY-uZ04qpKDoPmIy4TunKquXpKGQqQ4yutjvyb3pevb8vNLKnHYg3e1x0B4-bKPHZcK5sk6pyX5Gm2AspiRM8U0EG80NKeHGlpMmkhC6Pe/10334_1_1.png
7.3,"['アクション', 'ドラマ', 'ロボット', '軍事', 'SF']",蒼穹のファフナーDead Aggressor,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind. (Source: ANN)",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxe3oAqgs_JtJT7jG31NoFBmHGdeee4oeD0kQw5ZFtRJP6DBKKXExtgT0NIcpHR37eHILsjXCvIMAGUfC6EOtjWY-FjJdod9UhuLLzK5mjODJiLhNaiBx4vLhHizr50mefYfyMRdXbJ3yyV-TaD81VyluUbPaIV0FPFtJfjB-I4Nz_UGv0fx0SM9IoL2TzAO4sOlsS4GiXgUSwBwt78QNmbD_iP_81lSWRM1VZa6oA5-ckRQ95WGUmd7_0_z37zru-zPMJtkQ1PNr5iBTdT7-EWFbFqaVzd9RVCmD05WOvPtFDHRXu1-6NOyi5Cqr4mD4hpO2daJUW8yZ49BGN7xxmM8lZNr-dtt0nuBi00218eiR0RWI0l-oDzeR8Tyj0y8-Ai34dmvPdSdMkPbJkxcDyGV5tNlaerBx-JdYlBZPU2H/blog_import_5089395adc13f.jpg
7.09,"['ハーレム', 'コメディ', 'ドラマ', '魔法', 'ロマンス', 'エッチ', 'ファンタジー', '学園', '青年']",SHUFFLE! (シャッフル!),"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxe3oAqgs_JtJT7jG31NoFBmHGdeee4oeD0kQw5ZFtRJP6DBKKXExtgT0NIcpHR37eHILsjXCvIMAGUfC6EOtjUzVTQt5IiDO5GxQKDJpWKMJiLhNaiBx4vLhHizr50mefYfyMRdXbJ3yyV-TaD81VzyQBYHPpVUheBlFtQPB19waDjJLqFwneIAfREhMep252Xg5BqV-0QmudN9v2SF2aEtjRPkueSYeVaSNl4Llx24pxk6TduD-mOLk-MSssURZrmWnhkYoHDRX1J6n_7qje1yXs7jlN5lqDjAfuj7GieH2RV-xR6AtIptG8jET0uCt_8MI3DJjNhLFVVgKO0E1pXx_LgM5tt7jJBg2WDCpjr56Wpf6g5svozjW5PDZiwvoLvxuUTdhpu-va3RzUNuBj8=/sh1.jpg
7.69,"['日常', 'コメディ', '超能力', 'ドラマ', 'ロマンス', '少女']",フルーツバスケット,"fter the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods. One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete. Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journey, meeting more members of the zodiac family, will Tooru's kindhearted yet resilient nature be enough to prepare her for what lies behind the Souma household's doors?",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG4s8FnWSf5SBYhIKg2h0x1E4VWQR_X7hf15q1oOYSKmfUzaW8aa8uPtsqlk6YT_LD-FMvYSnThh_AwxJLxWorpNGlcjzNqDDszuzqmqTJRGgPcdndOd4usqrP_guJ19ieZnHK5955_nku1sfs4DcuaFcASlf5dnQRQXu2ThzEa3decF9IuPTCHfixDiGTa-uUqU_rvV7O0Ym1c8OHBXZV8M-6BOnSlQ3kcJ6_8OscIRQUPoGRict6bb5olVCMAaMFA==/kv.jpg
6.21,"['コメディ', 'エッチ', 'ロマンス', '学園', '日常']",グリーングリーン,"Kanenone Gakuen is an all-male boarding school located in the countryside of Japan. Although an all-male school is nothing new, life can become quite difficult when there are no female students for miles around. In order to help the psychological health of everyone involved, the school board has decided to try and merge with the nearest all-girl boarding school in order to become co-ed. The boys of Kanenone are more than thrilled at the prospect, and the girls are curious as to how interesting school life might become if there were more boys around. Before any serious decisions are made, the girls have been invited to stay at Kanenone for one month as a test. Green Green follows Yuusuke Takazaki and his naughty room mates called the Baka (Idiot) Trio, and their ability to talk to the girls without making complete fools of themselves. But as soon as the school bus with the girls arrives, things become weird, hormonal, and hysterical. In particular, a girl named Midori Chitose leaps off the bus and immediately embraces a very confused Yuusuke. Is he a natural ladies' man, or do the two of them have a shared history that he is not aware of?",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2tQqaW7GpK99nor-Q-ePmzE6UHEAwo-TYjy1kHKBWSrgoTxplKj4ow_1iNbJHtqFm6GU_sqHZovGPLDbyUzDUqu29AZ03Swm8z4wLRNpxe4DZhyb9nH9M4Fkte9iWk5hX6t2ZL4kOR3t36OnM_zc112lbhLy69eBQl2Bx1xrI0SEBJDXEjjZ3a92hUeuYkT0xvO4KwadPzmc7bTYgMgu847aY9WDUNhaFJOWCYJHaXyFNBBvNDSnhxpaTJpIQuj3g==/top3.jpg
7.78,"['アクション', 'アドベンチャー', 'コメディ', '超能力', '超能力', '少年']",シャーマンキング,"attle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power. During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory.",https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-NYGEmP7koXxqWwnsBqb-oPWMRHDroASzGb5229zEpdsLtKvjV63hti3vpUmbxW8yY77DlyzMpSchFMonfpepxeQCJBebn62rzScXBE0l1UMmZzRHYjrWEhlKIFHNRX7zK6ORpzPf7OFpD40n_M3-zLRyATXASUlp41zBDZjaDk0a7IjAGQ66jxKuDnudl3Ue52fpb9GZmbXKytMP7gdgssrCruySkEtbjVurnDdBofc0XPj_dmhUwXVpbyOJwqJYz0-kdKhTK1vGzBC7f8wUA=/y_60405e47b1d27.jpg
